sample_ID;include atlas;model;larry;species;CellLine_ID;sex;strain;genotype group;morphology/ grading;treatment;enriched fraction;path;mouse_ID
271-287;yes;endogenous;no;mouse;n/a;n/a;n/a;PKPSm;n/a;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/201910/AS-413905-LR-47383/outs/filtered_feature_bc_matrix.h5;271-287
1328;yes;endogenous;no;mouse;n/a;female;"C57Bl6/J;Sv129";PK;classical (Adenocarcinoma G2);ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202001/PK_1328/filtered_feature_bc_matrix.h5;1328
SB1793;yes;endogenous;no;mouse;n/a;female;"C57Bl6/J;Sv129";PKSm;n/a;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202001/SB1793/filtered_feature_bc_matrix.h5;SB1793
SB2165;yes;endogenous;no;mouse;n/a;female;"C57Bl6/J;Sv129";PKT;n/a;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202001/PKT_SB2165/filtered_feature_bc_matrix.h5;SB2165
20716;yes;endogenous;no;mouse;n/a;male;C57Bl6/J_F7;PK;n/a;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202001/PK_20716/filtered_feature_bc_matrix.h5;20716
10885;yes;endogenous;no;mouse;n/a;female;C57Bl6/J ;PPI3K;n/a;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202004/10885/outs/filtered_feature_bc_matrix.h5;10885
10883;yes;endogenous;no;mouse;n/a;female;C57Bl6/J ;PPI3K;n/a;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202004/10883/outs/filtered_feature_bc_matrix.h5;10883
SB1963;yes;endogenous;no;mouse;n/a;male;"C57Bl6/J;Sv129";PKP;n/a;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202004/SB1963/outs/filtered_feature_bc_matrix.h5;SB1963
PK1;yes;endogenous;no;mouse;n/a;n/a;n/a;PK;n/a;ctrl;CD45-neg (MACS);;PK1
PKF1;yes;endogenous;no;mouse;n/a;n/a;n/a;PKFoxp1;n/a;ctrl;CD45-neg (MACS);/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202011/PKF1_PPT/outs/filtered_feature_bc_matrix.h5;PKF1
63794;yes;endogenous;no;mouse;n/a;female;C57Bl6/J ;PKP;n/a;ctrl;n/a;;63794
271-670;yes;endogenous;no;mouse;n/a;male;"C57Bl6/J;Sv129";PK;n/a;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202011/271-670_PPT/outs/filtered_feature_bc_matrix.h5;271-670
1A;yes;endogenous;no;mouse;n/a;n/a;n/a;PK;n/a;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202205_Stefanie/1A/outs/filtered_feature_bc_matrix.h5;1A
1B;yes;endogenous;no;mouse;n/a;n/a;n/a;PK;n/a;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202205_Stefanie/1B/outs/filtered_feature_bc_matrix.h5;1B
3;yes;endogenous;no;mouse;n/a;n/a;n/a;PKS;n/a;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202205_Stefanie/3/outs/filtered_feature_bc_matrix.h5;3
63794_PPT;Yes;endogenous;no;mouse;n/a;female;C57Bl6/J ;PKP;n/a;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202011/63794_PPT/outs/filtered_feature_bc_matrix.h5;63794
CSC17;yes;orthotopic;no;mouse;8442;male;C57Bl6/J ;PK;classical;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/201902/AS-339367-LR-42802/outs/filtered_feature_bc_matrix.h5;CSC17
CSC10;yes;orthotopic;no;mouse;9091;female;C57Bl6/J ;PK;mesenchymal;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/201902/AS-339369-LR-42803/outs/filtered_feature_bc_matrix.h5;CSC10
CSC32;yes;orthotopic;no;mouse;8661;male;C57Bl6/J ;PK;classical;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/201902/AS-339371-LR-42804/outs/filtered_feature_bc_matrix.h5;CSC32
CSC16;yes;orthotopic;no;mouse;8442;male;C57Bl6/J ;PK;classical;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/201902/AS-339371-LR-42805/outs/filtered_feature_bc_matrix.h5;CSC16
CSC89;yes;orthotopic;no;mouse;8661;male;C57Bl6/J ;PK;classical;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/201910/AS-413897-LR-47379/outs/filtered_feature_bc_matrix.h5;CSC89
CSC87;yes;orthotopic;no;mouse;8661;male;C57Bl6/J ;PK;classical;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/201910/AS-413899-LR-47380/outs/filtered_feature_bc_matrix.h5;CSC87
